,0
20141104,58.0
20141105,64.0
20141106,62.0
20141107,66.0
20141108,66.0
20141109,70.0
20141110,70.0
20141111,74.0
20141112,68.0
20141113,66.0
20141114,66.0
20141115,70.0
20141116,72.0
20141117,72.0
20141118,64.0
20141119,68.0
20141120,58.0
20141121,64.0
20141122,62.0
20141123,66.0
20141124,62.0
20141125,60.0
20141126,62.0
20141127,62.0
20141128,64.0
20141129,60.0
20141130,62.0
20141201,58.0
20141202,64.0
20141203,58.0
20141204,60.0
20141205,58.0
20141206,64.0
20141207,62.0
20141208,62.0
20141209,58.0
20141210,62.0
20141211,60.0
20141213,56.0
20141214,56.0
20141215,54.0
20141216,56.0
20141217,52.0
20141218,48.0
20141219,44.0
20141220,42.0
20141221,44.0
20141222,44.0
20141223,46.0
20141224,38.0
20141225,40.0
20141226,42.0
20141227,42.0
20141228,38.0
20141229,38.0
20141230,44.0
20141231,44.0
20150101,46.0
20150102,42.0
20150103,44.0
20150104,42.0
20150105,36.0
20150106,40.0
20150107,46.0
20150108,42.0
20150109,50.0
20150111,44.0
20150112,48.0
20150113,48.0
20150114,58.0
20150115,58.0
20150116,60.0
20150117,62.0
20150118,58.0
20150119,60.0
20150120,66.0
20150121,70.0
20150122,66.0
20150123,66.0
20150124,62.0
20150125,62.0
20150126,64.0
20150127,58.0
20150128,62.0
20150129,64.0
20150130,66.0
20150131,60.0
20150201,64.0
20150202,60.0
20150203,62.0
20150204,68.0
20150205,66.0
20150206,64.0
20150207,60.0
20150208,60.0
20150209,64.0
20150210,60.0
20150211,60.0
20150212,66.0
20150213,72.0
20150214,70.0
20150215,70.0
20150216,66.0
20150217,66.0
20150218,64.0
20150219,62.0
20150220,66.0
20150221,60.0
20150222,64.0
20150223,58.0
20150224,66.0
20150225,62.0
20150226,56.0
20150227,62.0
20150301,66.0
20150302,62.0
20150303,58.0
20150304,64.0
20150305,62.0
20150306,64.0
20150307,64.0
20150308,64.0
20150309,60.0
20150310,58.0
20150311,56.0
20150312,56.0
20150313,60.0
20150314,60.0
20150315,54.0
20150316,54.0
20150317,56.0
20150318,54.0
20150319,54.0
20150320,52.0
20150321,48.0
20150322,50.0
20150323,52.0
20150324,54.0
20150325,52.0
20150326,50.0
20150327,60.0
20150328,56.0
20150329,46.0
20150330,52.0
20150331,58.0
20150401,58.0
20150402,58.0
20150403,60.0
20150404,56.0
20150405,58.0
20150406,62.0
20150407,62.0
20150408,58.0
20150409,58.0
20150410,58.0
20150411,48.0
20150412,54.0
20150413,56.0
20150414,54.0
20150415,50.0
20150416,54.0
20150417,54.0
20150418,50.0
20150419,46.0
20150420,48.0
20150421,42.0
20150422,44.0
20150423,52.0
20150424,50.0
20150425,54.0
20150426,48.0
20150427,50.0
20150428,48.0
20150429,48.0
20150430,42.0
20150501,46.0
20150502,48.0
20150503,46.0
20150504,44.0
20150505,46.0
20150506,42.0
20150507,40.0
20150508,38.0
20150509,44.0
20150510,42.0
20150511,34.0
20150512,40.0
20150513,48.0
20150514,42.0
20150515,40.0
20150516,44.0
20150517,48.0
20150518,52.0
20150519,54.0
20150520,54.0
20150521,58.0
20150522,60.0
20150523,60.0
20150524,58.0
20150525,58.0
20150526,60.0
20150527,62.0
20150528,62.0
20150529,66.0
20150530,62.0
20150531,62.0
20150601,60.0
20150602,68.0
20150603,68.0
20150604,68.0
20150605,70.0
20150606,66.0
20150607,70.0
20150608,80.0
20150609,76.0
20150610,74.0
20150611,74.0
20150612,70.0
20150613,76.0
20150614,78.0
20150615,78.0
20150616,78.0
20150617,80.0
20150618,80.0
20150619,84.0
20150620,84.0
20150621,82.0
20150622,82.0
20150623,84.0
20150624,86.0
20150625,90.0
20150626,88.0
20150627,80.0
20150628,80.0
20150629,84.0
20150630,78.0
20150701,84.0
20150702,78.0
20150703,82.0
20150704,84.0
20150705,80.0
20150706,82.0
20150707,76.0
20150708,76.0
20150709,76.0
20150710,76.0
20150711,76.0
20150712,74.0
20150713,74.0
20150714,80.0
20150715,72.0
20150716,74.0
20150717,74.0
20150718,72.0
20150719,74.0
20150720,72.0
20150721,76.0
20150722,70.0
20150723,76.0
20150724,76.0
20150725,84.0
20150726,80.0
20150727,78.0
20150728,74.0
20150729,70.0
20150730,78.0
20150731,80.0
20150801,80.0
20150802,82.0
20150803,82.0
20150804,72.0
20150805,78.0
20150806,74.0
20150807,76.0
20150808,84.0
20150809,78.0
20150810,72.0
20150811,70.0
20150812,68.0
20150813,64.0
20150814,68.0
20150815,66.0
20150816,70.0
20150817,68.0
20150818,74.0
20150819,68.0
20150820,62.0
20150821,58.0
20150822,48.0
20150823,54.0
20150824,52.0
20150825,52.0
20150826,48.0
20150827,40.0
20150828,40.0
20150829,48.0
20150830,48.0
20150831,44.0
20150901,44.0
20150902,44.0
20150903,34.0
20150904,40.0
20150905,40.0
20150906,40.0
20150907,38.0
20150908,44.0
20150909,42.0
20150910,40.0
20150911,46.0
20150912,40.0
20150913,48.0
20150914,42.0
20150915,42.0
20150916,38.0
20150917,48.0
20150919,32.0
20150920,36.0
20150921,36.0
20150922,32.0
20150923,36.0
20150924,36.0
20150925,40.0
20150926,42.0
20150927,40.0
20150928,36.0
20150929,38.0
20150930,44.0
20151001,44.0
20151002,40.0
20151003,34.0
20151004,40.0
20151005,32.0
20151006,38.0
20151007,40.0
20151008,34.0
20151009,32.0
20151010,40.0
20151011,36.0
20151012,34.0
20151013,36.0
20151014,32.0
20151015,38.0
20151016,36.0
20151017,32.0
20151018,34.0
20151019,32.0
20151020,28.0
20151021,28.0
20151022,32.0
20151023,32.0
20151024,30.0
20151025,32.0
20151026,34.0
20151027,30.0
20151028,28.0
20151029,26.0
20151030,22.0
20151031,26.0
20151101,26.0
20151102,20.0
20151103,24.0
20151104,22.0
20151105,20.0
20151106,20.0
20151107,22.0
20151108,20.0
20151109,20.0
20151110,22.0
20151111,22.0
20151112,20.0
20151113,24.0
20151114,22.0
20151115,22.0
20151116,26.0
20151117,24.0
20151118,22.0
20151119,20.0
20151120,26.0
20151121,20.0
20151122,24.0
20151123,24.0
20151124,20.0
20151125,26.0
20151126,24.0
20151127,24.0
20151128,26.0
20151129,22.0
20151130,26.0
20151201,26.0
20151202,24.0
20151203,30.0
20151204,26.0
20151205,26.0
20151206,24.0
20151207,28.0
20151208,22.0
20151209,24.0
20151210,24.0
20151211,28.0
20151212,32.0
20151213,30.0
20151214,32.0
20151215,28.0
20151216,28.0
20151217,22.0
20151218,26.0
20151219,22.0
20151220,22.0
20151221,28.0
20151222,24.0
20151223,22.0
20151224,24.0
20151225,18.0
20151226,22.0
20151227,24.0
20151228,24.0
20151229,24.0
20151230,24.0
20151231,20.0
20160101,16.0
20160102,20.0
20160103,20.0
20160104,24.0
20160105,20.0
20160106,22.0
20160107,24.0
20160108,24.0
20160109,24.0
20160110,22.0
20160111,26.0
20160112,24.0
20160113,28.0
20160114,24.0
20160115,26.0
20160116,28.0
20160117,28.0
20160118,36.0
20160119,30.0
20160120,26.0
20160121,36.0
20160122,42.0
20160123,44.0
20160124,48.0
20160125,48.0
20160126,58.0
20160127,66.0
20160128,62.0
20160129,58.0
20160130,56.0
20160131,58.0
20160201,66.0
20160202,78.0
20160203,70.0
20160204,70.0
20160205,74.0
20160206,74.0
20160207,76.0
20160208,70.0
20160209,72.0
20160210,70.0
20160211,78.0
20160212,82.0
20160213,76.0
20160214,78.0
20160215,80.0
20160216,80.0
20160217,72.0
20160218,70.0
20160219,72.0
20160220,68.0
20160221,72.0
20160222,72.0
20160223,68.0
20160224,74.0
20160225,76.0
20160226,74.0
20160227,76.0
20160228,76.0
20160229,70.0
20160301,68.0
20160302,64.0
20160303,76.0
20160304,76.0
20160305,74.0
20160306,78.0
20160307,84.0
20160308,84.0
20160309,80.0
20160310,88.0
20160311,90.0
20160312,92.0
20160313,92.0
20160314,92.0
20160315,88.0
20160316,88.0
20160317,92.0
20160318,86.0
20160319,92.0
20160320,94.0
20160321,94.0
20160322,92.0
20160323,92.0
20160324,92.0
20160325,92.0
20160326,96.0
20160327,94.0
20160328,94.0
20160329,94.0
20160330,94.0
20160331,92.0
20160401,94.0
20160402,94.0
20160403,96.0
20160404,92.0
20160405,92.0
20160406,94.0
20160407,90.0
20160408,94.0
20160409,94.0
20160410,92.0
20160411,86.0
20160412,80.0
20160413,82.0
20160414,82.0
20160415,78.0
20160416,80.0
20160417,82.0
20160418,80.0
20160419,82.0
20160420,80.0
20160421,74.0
20160422,74.0
20160423,78.0
20160424,68.0
20160425,64.0
20160426,60.0
20160427,60.0
20160428,60.0
20160429,64.0
20160430,64.0
20160501,62.0
20160502,66.0
20160503,66.0
20160504,66.0
20160505,66.0
20160506,60.0
20160507,60.0
20160508,62.0
20160509,60.0
20160510,62.0
20160511,52.0
20160512,58.0
20160513,56.0
20160514,52.0
20160515,50.0
20160516,56.0
20160517,56.0
20160518,58.0
20160519,60.0
20160520,68.0
20160521,64.0
20160522,56.0
20160523,62.0
20160524,60.0
20160525,54.0
20160526,62.0
20160527,56.0
20160528,44.0
20160529,48.0
20160530,56.0
20160531,52.0
20160601,50.0
20160602,46.0
20160603,48.0
20160604,42.0
20160605,40.0
20160606,42.0
20160607,42.0
20160608,40.0
20160609,46.0
20160610,46.0
20160611,46.0
20160612,34.0
20160613,28.0
20160614,28.0
20160615,32.0
20160616,30.0
20160617,28.0
20160618,30.0
20160619,30.0
20160620,30.0
20160621,30.0
20160622,28.0
20160623,28.0
20160624,30.0
20160625,34.0
20160626,32.0
20160627,32.0
20160628,32.0
20160629,32.0
20160630,32.0
20160701,32.0
20160702,30.0
20160703,36.0
20160704,36.0
20160705,36.0
20160706,38.0
20160707,38.0
20160708,38.0
20160709,40.0
20160710,46.0
20160711,46.0
20160712,46.0
20160713,42.0
20160714,46.0
20160715,46.0
20160716,46.0
20160717,42.0
20160718,44.0
20160719,46.0
20160720,48.0
20160721,48.0
20160722,48.0
20160723,52.0
20160724,52.0
20160725,60.0
20160726,46.0
20160727,54.0
20160728,56.0
20160729,46.0
20160730,52.0
20160731,50.0
20160801,56.0
20160802,56.0
20160803,54.0
20160804,62.0
20160805,60.0
20160806,58.0
20160807,54.0
20160808,56.0
20160809,58.0
20160810,56.0
20160811,60.0
20160812,54.0
20160813,58.0
20160814,56.0
20160815,62.0
20160816,60.0
20160817,62.0
20160818,58.0
20160819,62.0
20160820,60.0
20160821,60.0
20160822,56.0
20160823,60.0
20160824,56.0
20160825,62.0
20160826,68.0
20160827,68.0
20160828,66.0
20160829,68.0
20160830,64.0
20160831,66.0
20160901,74.0
20160902,74.0
20160903,72.0
20160904,72.0
20160905,68.0
20160906,66.0
20160907,70.0
20160908,70.0
20160909,70.0
20160910,74.0
20160911,74.0
20160912,72.0
20160913,72.0
20160914,78.0
20160915,78.0
20160916,80.0
20160917,78.0
20160918,78.0
20160919,76.0
20160920,78.0
20160921,78.0
20160922,76.0
20160923,78.0
20160924,74.0
20160925,80.0
20160926,78.0
20160927,74.0
20160928,76.0
20160929,78.0
20160930,78.0
20161001,74.0
20161002,72.0
20161003,70.0
20161004,70.0
20161005,68.0
20161006,70.0
20161007,66.0
20161008,68.0
20161009,70.0
20161010,72.0
20161011,68.0
20161012,68.0
20161013,66.0
20161014,64.0
20161015,66.0
20161016,66.0
20161017,68.0
20161018,66.0
20161019,62.0
20161020,62.0
20161021,64.0
20161022,64.0
20161023,64.0
20161024,62.0
20161025,66.0
20161026,64.0
20161027,58.0
20161028,56.0
20161029,46.0
20161030,50.0
20161031,52.0
20161101,48.0
20161102,44.0
20161103,48.0
20161104,50.0
